Title,Citation Count,Abstract,PDF Link,Link,Author names,Author Names With Google Scholar,Snippet,ID
Current State of Deepfake Detection and Generation: A Review,2,"

Employing machine learning algorithms to produce synthetic media, known as deepfake
technology, has garnered considerable interest in contemporary times owing to its capacity
for both favorable and unfavorable implications. The paper thoroughly examines deepfake technology,
encompassing its creation and identification methods and its legal, ethical, and societal
ramifications. The article commences by presenting a comprehensive summary of the technology
behind deepfake and its fundamental machine-learning algorithms. The subsequent discourse
pertains to the basic metrics employed in assessing deepfake generation, the identification methodologies,
and the prevalent benchmarks and datasets utilized for evaluating these algorithms.
The study thoroughly examines deepfake technology, encompassing its methods of generation
and detection, metrics for evaluation, datasets for benchmarking, and the challenges and constraints
associated with its use. The review scrutinizes diverse techniques for generating deep
fakes, encompassing Generative Adversarial Networks (GANs), autoencoders, and neural networks.
Style transfer, alongside their corresponding metrics for evaluation, namely Peak Signalto-
Noise Ratio (PSNR), Structural Similarity Index (SSIM), Fréchet Inception Distance (FID),
and Inception Score (IS). The text delves into an analysis of deepfake detection techniques, encompassing
image and video-based methodologies and the corresponding evaluation metrics.
These metrics include accuracy, recall, F1 score, accuracy, AUC-ROC, and AUC-PR. The article
additionally examines the benchmarks and datasets employed to evaluate the efficacy of deepfake
detection algorithms. These include the Deepfake Detection Challenge (DFDC), the FaceForensics++,
Celeb-DF, and DeeperForensics-1.0 datasets. This paper presents an overview of the
challenges and limitations of generating and detecting deepfakes.
",,https://www.benthamdirect.com/content/journals/raeeng/10.2174/0123520965269334231117112747,"I Kansal, R Popli, R Kumar","I Kansal:https://scholar.google.com/citations?user=NCaz3ZsAAAAJ&hl=en&num=20&oi=sra
R Popli:https://scholar.google.com/citations?user=4rDSRlUAAAAJ&hl=en&num=20&oi=sra
R Kumar:https://scholar.google.com/citations?user=tfTnqqcAAAAJ&hl=en&num=20&oi=sra","… limitations of generating and detecting deepfakes. … review studies by thoroughly examining deepfake technology, involving not just the techniques used for generation and identification …",9X0UbKUUhhcJ
Unmasking Deepfakes: A Systematic Review of Generation Techniques and Detection Strategies,,,https://ijici.edu.iq/index.php/ijici/article/download/105/60,http://ijici.edu.iq/index.php/ijici/article/view/105,,,"… In this review, we propose an in-depth study of deepfake detection methods, concentrating on the progression of deepfake generation techniques, state-of-the-art detection methods, …",2r_7KvAmpAcJ
Deepfake detection: A systematic literature review,486,"Over the last few decades, rapid progress in AI, machine learning, and deep learning has resulted in new techniques and various tools for manipulating multimedia. Though the technology has been mostly used in legitimate applications such as for entertainment and education, etc., malicious users have also exploited them for unlawful or nefarious purposes. For example, high-quality and realistic fake videos, images, or audios have been created to spread misinformation and propaganda, foment political discord and hate, or even harass and blackmail people. The manipulated, high-quality and realistic videos have become known recently as Deepfake. Various approaches have since been described in the literature to deal with the problems raised by Deepfake. To provide an updated overview of the research works in Deepfake detection, we conduct a systematic literature review (SLR) in this paper, summarizing 112 relevant articles from 2018 to 2020 that presented a variety of methodologies. We analyze them by grouping them into four different categories: deep learning-based techniques, classical machine learning-based methods, statistical techniques, and blockchain-based techniques. We also evaluate the performance of the detection capability of the various methods with respect to different datasets and conclude that the deep learning-based methods outperform other methods in Deepfake detection.",https://ieeexplore.ieee.org/iel7/6287639/6514899/09721302.pdf,https://ieeexplore.ieee.org/abstract/document/9721302/,"MS Rana, MN Nobi, AH Sung","MS Rana:https://scholar.google.com/citations?user=jjM9zsAAAAAJ&hl=en&num=20&oi=sra
MN Nobi:https://scholar.google.com/citations?user=HcNufMYAAAAJ&hl=en&num=20&oi=sra
AH Sung:https://scholar.google.com/citations?user=UMf3YBMAAAAJ&hl=en&num=20&oi=sra","… In January 2018, a Deepfake creation service was launched by various websites funded by … This SLR presents various state-of-the-art methods for detecting Deepfake published in 112 …",TXBDsXYgz8YJ
"Deepfake attacks: Generation, detection, datasets, challenges, and research directions",87,"Recent years have seen a substantial increase in interest in deepfakes, a fast-developing field at the nexus of artificial intelligence and multimedia. These artificial media creations, made possible by deep learning algorithms, allow for the manipulation and creation of digital content that is extremely realistic and challenging to identify from authentic content. Deepfakes can be used for entertainment, education, and research; however, they pose a range of significant problems across various domains, such as misinformation, political manipulation, propaganda, reputational damage, and fraud. This survey paper provides a general understanding of deepfakes and their creation; it also presents an overview of state-of-the-art detection techniques, existing datasets curated for deepfake research, as well as associated challenges and future research trends. By synthesizing existing knowledge and research, this survey aims to facilitate further advancements in deepfake detection and mitigation strategies, ultimately fostering a safer and more trustworthy digital environment.",,https://www.mdpi.com/2073-431X/12/10/216,"A Naitali, F Salahdine","A Naitali:https://scholar.google.com/citations?user=e6G0EYIAAAAJ&hl=en&num=20&oi=sra
F Salahdine:https://scholar.google.com/citations?user=SfD6W2AAAAAJ&hl=en&num=20&oi=sra","… of deepfakes and their creation; it also presents an overview of state-of-the-art detection … review of deepfake manipulation types and their generation processes, as well as several …",uovfMdxTdDIJ
"Visual deepfake detection: Review of techniques, tools, limitations, and future prospects",11,"In recent years, rapid advancements in deepfakes (incorporating Artificial Intelligence (AI), machine, and deep learning) have updated tools and techniques for manipulating multimedia. Though technology has primarily been utilized for beneficial purposes, such as education and entertainment, it is also used for malicious or unethical tasks to spread disinformation or ruin someone’s dignity, even if it encompasses harassing and blackmailing victims. Deepfakes refer to high-quality and realistic multimedia-manipulated content that has been digitally modified or synthetically generated. We conducted a systematic literature review of deepfake detection to offer an updated overview of existing research work that initially describes the widely accessible deepfake generation tools, classifications, and detection process. We highlighted recent techniques in visual deepfake detection based on the feature representations, grouped into four domains: spatial, temporal, frequency, and spatio-temporal, including their key features and limitations by providing details of existing datasets, together with the potentials of deepfake and its future directions. This study tried to add an updated repository of technological change in deepfake, which could help researchers to develop robust deepfake models.",https://ieeexplore.ieee.org/iel8/6287639/6514899/10816641.pdf,https://ieeexplore.ieee.org/abstract/document/10816641/,"NUR Ahmed, A Badshah","NUR Ahmed:https://scholar.google.com/citations?user=w2Bt-vwAAAAJ&hl=en&num=20&oi=sra
A Badshah:https://scholar.google.com/citations?user=rBmhtFQAAAAJ&hl=en&num=20&oi=sra","… a systematic literature review of deepfake detection to offer … accessible deepfake generation tools, classifications, and detection … An image animation creator for State Of The Art (SOTA) …",zq5klY0n1YgJ
Deepfake generation and detection: Case study and challenges,131,"In smart communities, social media allowed users easy access to multimedia content. With recent advancements in computer vision and natural language processing, machine learning (ML), and deep learning (DL) models have evolved. With advancements in generative adversarial networks (GAN), it has become possible to create fake images/audio/and video streams of a person or use some person’s audio and visual details to fit other environments. Thus, deepfakes are specifically used to disseminate fake information and propaganda on social circles that tarnish the reputation of an individual or an organization. Recently, many surveys have focused on generating and detecting deepfake images, audio, and video streams. Existing surveys are mostly aligned toward detecting deepfake contents, but the generation process is not suitably discussed. To address the survey gap, the paper proposes a comprehensive review of deepfake generation and detection and the different ML/DL approaches to synthesize deepfake contents. We discuss a comparative analysis of deepfake models and public datasets present for deepfake detection purposes. We discuss the implementation challenges and future research directions regarding optimized approaches and models. A unique case study, IBMM is discussed, which presents a multi-modal overview of deepfake detection. The proposed survey would benefit researchers, industry, and academia to study deepfake generation and subsequent detection schemes.",https://ieeexplore.ieee.org/iel7/6287639/6514899/10354308.pdf,https://ieeexplore.ieee.org/abstract/document/10354308/,"S Tanwar, R Gupta, P Bhattacharya","S Tanwar:https://scholar.google.com/citations?user=ZvvEpQkAAAAJ&hl=en&num=20&oi=sra
R Gupta:https://scholar.google.com/citations?user=b_EOPR0AAAAJ&hl=en&num=20&oi=sra
P Bhattacharya:https://scholar.google.com/citations?user=xpqCLZkAAAAJ&hl=en&num=20&oi=sra",… We present some key works in deepfakes detection and gen… SURVEY This subsection outlines the state-of-the-art (SOTA) … REVIEW METHOD Our survey articles bridge the gaps in …,wBwNbb2QrqAJ
A Review of Deepfake and Its Detection: From Generative Adversarial Networks to Diffusion Models,,,https://onlinelibrary.wiley.com/doi/pdf/10.1155/int/9987535,https://onlinelibrary.wiley.com/doi/abs/10.1155/int/9987535,"B Liu, T Zhu, M Ding","B Liu:https://scholar.google.com/citations?user=Ixcq78YAAAAJ&hl=en&num=20&oi=sra
T Zhu:https://scholar.google.com/citations?user=GnO_d7UAAAAJ&hl=en&num=20&oi=sra
M Ding:https://scholar.google.com/citations?user=QuUuw70AAAAJ&hl=en&num=20&oi=sra","… By encompassing both Deepfake generation and detection, we … and detectors than previous surveys focusing solely on … the detection performance of some state-of-the-art methods …",5L3emjAqnlsJ
A systematic literature review on deepfake detection techniques,19,,,https://link.springer.com/article/10.1007/s11042-024-19906-1,"VK Sharma, R Garg, Q Caudron","VK Sharma:https://scholar.google.com/citations?user=L1YovEMAAAAJ&hl=en&num=20&oi=sra
R Garg:https://scholar.google.com/citations?user=1PvmqWsAAAAJ&hl=en&num=20&oi=sra
Q Caudron:https://scholar.google.com/citations?user=GP80fmAAAAAJ&hl=en&num=20&oi=sra",… detecting and assessing the authenticity of digital media in real time. This review paper aims to evaluate current deepfake detection … GANs enables the creation of deepfakes that are not …,qsNBfRjNFaMJ
Generating and detecting various types of fake image and audio content: A review of modern deep learning technologies and tools,5,,https://arxiv.org/pdf/2501.06227,https://arxiv.org/abs/2501.06227,,,"… This paper reviews the state-of-the-art in deepfake generation and detection, focusing on … The rise of deepfakes, leveraging techniques like Variational Autoencoders (VAEs), Generative …",Iz-ivOw12tAJ
"A Comprehensive Overview of Deep Learning for Deepfakes: Generation, Detection, Dataset: A Survey",,,https://journals.ekb.eg/article_405479_08789c4e84052f1d22d9a5a572805167.pdf,https://journals.ekb.eg/article_405479.html,N Mahmoud,N Mahmoud:https://scholar.google.com/citations?user=MNpkF8UAAAAJ&hl=en&num=20&oi=sra,"… deepfake creation and detection systems. This paper provides a comprehensive survey of state-of-the-art deepfake detection … few studies that extensively review datasets, highlighting …",yQPyXAsySNkJ
